drawdate,n1,n2,n3,n4,n5,winners5,winners4,winners3,prize5,prize4,prize3
2007-01-01,11,13,19,32,33,0,196,7468,0.00,1133.00,11.50
2007-01-02,1,3,21,25,31,1,307,10508,222347.19,116.50,9.50
2007-01-03,1,6,18,23,25,6,361,11477,41488.90,111.00,9.50
2007-01-04,1,19,21,30,34,3,247,8984,79475.52,155.50,11.50
2007-01-05,10,12,20,28,31,4,395,11365,65655.44,107.00,10.00
2007-01-06,5,13,23,27,30,2,375,11899,140060.63,120.00,10.50
2007-01-07,7,27,28,31,33,2,293,8242,98519.39,108.00,10.50
2007-01-08,16,28,32,34,35,2,275,9410,115203.13,135.00,11.00
2007-01-09,9,12,28,35,36,1,316,9405,230806.47,117.50,11.00
2007-01-10,3,9,11,13,31,4,523,13760,62981.69,77.50,8.00
2007-01-11,6,11,19,31,32,5,281,9677,47576.63,136.50,11.00
2007-01-12,11,16,25,31,32,3,277,10317,88828.53,155.00,11.50
2007-01-13,6,8,12,29,31,3,416,12650,96015.78,111.50,10.00
2007-01-14,22,25,27,28,36,1,229,7296,197053.67,138.50,12.00
2007-01-15,5,12,13,24,30,4,334,10326,57110.68,110.00,9.50
2007-01-16,4,5,8,21,33,2,340,11603,117777.52,111.50,9.00
2007-01-17,18,23,33,35,36,4,347,10095,63387.87,117.50,11.00
2007-01-18,11,13,23,27,33,3,385,10786,80645.05,101.00,10.00
2007-01-19,2,10,21,29,33,2,367,10774,134349.50,118.00,11.00
2007-01-20,2,4,6,13,28,1,526,14259,285219.22,87.00,9.00
2007-01-21,1,5,8,22,33,0,314,9710,0.00,737.50,9.00
2007-01-22,4,17,19,25,27,1,374,11411,236320.44,101.50,9.00
2007-01-23,2,9,13,16,34,1,286,10226,238711.16,134.50,10.50
2007-01-24,4,11,25,27,33,2,326,11002,128182.36,126.50,10.50
2007-01-25,8,14,15,22,31,0,345,10497,0.00,803.00,10.00
2007-01-26,3,5,22,27,31,0,327,11383,0.00,964.00,10.50
2007-01-27,8,17,19,26,30,3,443,13090,98664.52,107.50,10.00
2007-01-28,3,4,16,21,36,2,251,8455,100985.13,129.50,10.50
2007-01-29,2,4,6,7,9,17,905,16471,13791.68,41.50,6.00
2007-01-30,1,5,13,18,31,1,399,11579,240609.91,97.00,9.00
2007-01-31,9,11,14,21,27,1,490,14795,271167.54,89.00,8.00
2007-02-01,3,4,16,31,36,1,324,9506,249885.73,124.00,11.50
2007-02-02,3,7,10,27,36,3,467,14059,94370.09,97.50,9.00
2007-02-03,20,23,26,32,36,2,401,11897,157488.99,126.50,11.50
2007-02-04,12,23,24,29,32,3,279,8034,67274.85,116.50,11.00
2007-02-05,9,11,14,32,34,1,299,9806,248081.84,133.50,11.00
2007-02-06,1,3,13,29,32,2,297,10104,128735.56,139.50,11.50
2007-02-07,7,9,10,12,35,3,431,14859,97695.26,109.50,8.50
