drawdate,n1,n2,n3,n4,n5,n6,winners6,winners5,winners4,prize6,prize5,prize4
2012-10-31,1,34,36,41,42,46,0,3,169,2000000,883,49
2012-11-03,8,10,15,18,37,42,0,5,278,2200000,671,42
2012-11-05,4,7,16,25,35,40,0,3,206,2400000,520,36
2012-11-07,7,36,38,44,46,48,0,6,197,2600000,679,46
2012-11-10,6,8,12,30,31,45,0,9,286,2800000,354,38
2012-11-12,1,7,8,16,27,45,0,8,193,3000000,468,41
2012-11-14,4,8,13,32,39,46,0,2,218,3200000,705,38
2012-11-17,8,14,19,25,34,37,0,1,314,3400000,9415,47
2012-11-19,2,30,31,37,41,43,0,5,156,3600000,650,51
2012-11-21,6,19,20,26,32,45,0,4,246,3800000,496,44
2012-11-24,3,7,19,31,32,39,0,6,337,4000000,1689,37
2012-11-26,9,17,33,37,39,47,0,3,228,4200000,656,44
2012-11-28,9,20,21,38,39,40,0,12,386,4400000,724,44
2012-12-01,2,4,14,21,32,35,0,5,361,4600000,2079,37
2012-12-03,5,10,28,35,39,48,0,6,231,4800000,401,43
2012-12-05,6,20,22,25,33,41,0,5,290,5000000,1733,45
2012-12-08,7,8,16,20,33,42,0,9,374,5200000,849,42
2012-12-10,5,24,30,35,39,41,0,5,255,5400000,815,46
2012-12-12,3,7,17,21,37,45,0,6,361,5600000,538,34
2012-12-15,9,11,13,17,23,31,0,7,428,5800000,1592,35
2012-12-17,3,18,21,22,25,28,0,6,287,6000000,541,36
2012-12-19,5,13,25,27,29,42,0,6,292,6200000,1513,38
2012-12-22,17,21,30,35,42,43,0,4,420,6400000,1500,45
2012-12-24,1,11,17,28,46,48,0,8,373,6600000,784,38
2012-12-26,4,7,15,17,37,46,0,6,289,6800000,1328,35
2012-12-29,4,6,11,12,43,44,0,9,457,7000000,479,37
2012-12-31,13,17,27,32,38,41,0,10,285,7200000,658,46
2013-01-02,7,12,14,28,38,48,0,2,288,7400000,1476,41
2013-01-05,19,30,32,33,43,45,0,12,403,7600000,758,46
2013-01-07,6,16,21,27,34,39,0,3,298,7800000,1181,41
2013-01-09,5,6,13,24,33,40,0,7,341,8000000,893,38
2013-01-12,7,10,13,15,21,24,0,7,478,8200000,642,36
2013-01-14,7,10,15,25,33,39,0,4,288,8400000,695,38
2013-01-16,1,9,23,32,46,47,0,5,327,8600000,589,43
2013-01-19,11,15,19,23,31,39,0,8,483,8800000,1087,38
2013-01-21,1,6,19,23,32,46,0,6,293,9000000,389,40
2013-01-23,5,8,16,25,37,38,0,6,369,9200000,1700,37
2013-01-26,13,17,27,28,31,34,0,11,493,9400000,490,38
2013-01-28,2,4,11,12,43,48,0,4,329,9600000,737,39
2013-01-30,8,12,18,25,26,31,0,3,412,9800000,557,35
2013-02-02,5,12,24,25,29,39,0,9,537,10000000,1629,39
2013-02-04,19,23,29,35,47,48,0,7,305,10200000,416,48
2013-02-06,5,6,7,9,11,41,0,9,513,10400000,407,28
2013-02-09,1,4,5,15,23,45,0,13,585,10500000,700,34
2013-02-11,5,9,10,20,32,33,0,4,370,10600000,831,36
2013-02-13,8,16,25,44,45,47,0,8,394,10700000,721,44
2013-02-16,5,23,25,29,35,36,0,13,472,10800000,860,45
2013-02-18,9,17,26,28,32,35,0,2,311,10900000,693,46
2013-02-20,11,12,17,30,31,34,0,5,409,11000000,1306,40
2013-02-23,1,6,10,18,33,47,0,11,543,11100000,1344,41
2013-02-25,5,8,11,31,33,48,0,10,384,11200000,560,34
2013-02-27,1,21,23,35,39,47,0,8,388,11300000,988,43
2013-03-02,6,11,17,18,30,47,0,20,553,11400000,553,38
2013-03-04,7,16,20,30,34,47,0,11,368,11500000,704,39
2013-03-06,14,18,20,22,35,36,0,4,434,11600000,1524,44
2013-03-09,2,4,13,14,39,42,0,10,586,11700000,1091,40
2013-03-11,2,11,23,40,47,48,0,8,369,11800000,1295,45
2013-03-13,9,16,26,41,46,47,0,10,438,11900000,1262,47
2013-03-16,3,5,11,18,38,43,0,13,662,12000000,780,36
2013-03-18,12,24,26,34,44,46,0,6,361,12100000,1090,44
2013-03-20,1,12,21,24,33,41,0,11,465,12200000,866,46
2013-03-23,14,24,26,31,33,48,0,9,620,12300000,1348,44
2013-03-25,6,16,18,19,31,45,0,5,345,12400000,1172,49
